origin	dest	capacity	length	fft	alpha	beta	speedLimit	LinkType	NMoto	NCar
5056	5070	1950	0.72	1.0536585365853657	1.5577	3.6819	0	3	0	0
5131	5099	910	0.32	0.384	1.1507	3.7967	0	5	0	0
5056	5057	910	0.1	0.14634146341463414	1.5577	3.6819	0	6	0	0
5109	5061	910	0.3	0.4390243902439024	1.5577	3.6819	0	6	0	0
5126	7530	910	0.28	0.40975609756097564	1.5577	3.6819	0	6	0	0
5126	5109	910	0.13	0.1902439024390244	1.5577	3.6819	0	6	0	0
5073	5132	770	0.07	0.10243902439024391	1.5577	3.6819	0	5	0	0
5061	5073	910	0.15	0.2195121951219512	1.5577	3.6819	0	6	0	0
5117	5133	3920	0.91	0.91	0.8397	5.3445	0	4	0	0
5134	5135	910	0.4	0.5853658536585366	1.5577	3.6819	0	6	0	0
5134	5136	860	0.173951	0.32615812499999997	1.5554	3.829	0	6	0	0
5137	5138	770	0.141812	0.2658975	1.5554	3.829	0	4	0	0
5125	15905	910	0.12	0.17560975609756097	1.5577	3.6819	0	6	0	0
5139	15923	910	0.14	0.20487804878048782	1.5577	3.6819	0	6	0	0
5123	15900	910	0.12	0.17560975609756097	1.5577	3.6819	0	4	0	0
5140	15924	910	0.15	0.2195121951219512	1.5577	3.6819	0	6	0	0
5143	15917	1860	0.05	0.07317073170731707	1.5577	3.6819	0	4	0	0
5135	5089	910	0.45	0.6585365853658537	1.5577	3.6819	0	6	0	0
5145	5144	860	0.31	0.58125	1.5554	3.829	0	6	0	0
5142	5138	910	0.49	0.7170731707317073	1.5577	3.6819	0	4	0	0
5146	5147	910	1.14	1.668292682926829	1.5577	3.6819	0	4	0	0
5141	15922	910	0.16	0.23414634146341462	1.5577	3.6819	0	4	0	0
5146	5148	910	0.37	0.5414634146341463	1.5577	3.6819	0	6	0	0
5114	5146	1860	0.04	0.058536585365853655	1.5577	3.6819	0	4	0	0
5141	5139	910	0.14	0.20487804878048782	1.5577	3.6819	0	6	0	0
5148	15921	910	0.15	0.2195121951219512	1.5577	3.6819	0	4	0	0
5147	16380	1450	0.12	0.12	0.8397	5.3445	0	4	0	0
5147	5134	910	0.107881	0.15787463414634148	1.5577	3.6819	0	6	0	0
16380	5117	1860	0.35	0.5121951219512194	1.5577	3.6819	0	4	0	0
5138	5147	2500	0.108333	0.11818145454545453	1.2312	2.9971	0	4	0	0
5149	15915	910	0.21	0.3073170731707317	1.5577	3.6819	0	6	0	0
5140	15913	860	0.21	0.39375	1.5554	3.829	0	6	0	0
5105	15907	1950	0.28	0.3360000000000001	1.1507	3.7967	0	5	0	0
5125	15902	910	0.17	0.24878048780487805	1.5577	3.6819	0	6	0	0
5105	15909	910	0.08	0.11707317073170731	1.5577	3.6819	0	6	0	0
5149	15903	910	0.13	0.1902439024390244	1.5577	3.6819	0	6	0	0
5151	10107	1950	0.12	0.17560975609756097	1.5577	3.6819	0	4	0	0
5151	15910	910	0.086109	0.12601317073170734	1.5577	3.6819	0	4	0	0
5137	5136	860	0.17	0.31875000000000003	1.5554	3.829	0	6	0	0
5136	15918	860	0.2	0.375	1.5554	3.829	0	6	0	0
5150	15912	770	0.164517	0.308469375	1.5554	3.829	0	4	0	0
5136	5145	860	0.31	0.58125	1.5554	3.829	0	6	0	0
5152	15930	1950	0.22	0.32195121951219513	1.5577	3.6819	0	4	0	0
5153	5063	4000	0.419024	0.4834892307692308	0.8208	4.9382	0	1	1	0
5152	5113	1000	1.01437	1.0677578947368422	0.9721	3.399	0	7	0	1
5121	5153	4000	0.425167	0.49057730769230773	0.8208	4.9382	0	1	1	0
5086	5111	8300	0.408805	0.23584903846153843	0.885	4.8323	0	1	1	0
5154	5153	1950	0.13	0.1902439024390244	1.5577	3.6819	0	4	0	0
5121	5063	8300	0.826275	0.47669711538461534	0.885	4.8323	0	1	1	0
5086	5113	4000	0.535942	0.6183946153846154	0.8208	4.9382	0	1	1	0
5133	5074	910	0.08	0.096	1.1507	3.7967	0	5	0	0
5111	5154	2300	0.3856	0.4449230769230769	0.8208	4.9382	0	1	1	0
5113	7528	1950	0.12	0.17560975609756097	1.5577	3.6819	0	4	0	0
